job uses node node463
LAMMPS (5 Nov 2016)
Running on 1 partitions of processors
pair lj/cut/coul/debye evdwl 0 66 0.000000
pair lj/cut/coul/debye ecoul 0 66 0.000000
pair lj/cut/coul/debye evdwl 0 68 0.000000
pair lj/cut/coul/debye ecoul 0 68 -0.003210
pair lj/cut/coul/debye evdwl 0 69 0.000000
pair lj/cut/coul/debye ecoul 0 69 0.000000
pair lj/cut/coul/debye evdwl 0 70 0.000000
pair lj/cut/coul/debye ecoul 0 70 0.000000
pair lj/cut/coul/debye evdwl 0 71 0.000000
pair lj/cut/coul/debye ecoul 0 71 -0.003293
pair lj/cut/coul/debye evdwl 0 72 0.000000
pair lj/cut/coul/debye ecoul 0 72 0.000000
pair lj/cut/coul/debye evdwl 0 73 0.000000
pair lj/cut/coul/debye ecoul 0 73 0.000000
pair lj/cut/coul/debye evdwl 0 74 0.000000
pair lj/cut/coul/debye ecoul 0 74 -0.003418
pair lj/cut/coul/debye evdwl 0 75 0.000000
pair lj/cut/coul/debye ecoul 0 75 0.000000
pair lj/cut/coul/debye evdwl 0 76 0.000000
pair lj/cut/coul/debye ecoul 0 76 0.000000
pair lj/cut/coul/debye evdwl 0 77 0.000000
pair lj/cut/coul/debye ecoul 0 77 -0.004978
pair lj/cut/coul/debye evdwl 0 78 0.000000
pair lj/cut/coul/debye ecoul 0 78 0.000000
pair lj/cut/coul/debye evdwl 0 79 0.000000
pair lj/cut/coul/debye ecoul 0 79 0.000000
pair lj/cut/coul/debye evdwl 0 82 0.000000
pair lj/cut/coul/debye ecoul 0 82 0.000000
pair lj/cut/coul/debye evdwl 0 85 0.000000
pair lj/cut/coul/debye ecoul 0 85 0.000000
pair lj/cut/coul/debye evdwl 0 87 -0.000061
pair lj/cut/coul/debye ecoul 0 87 0.000000
pair lj/cut/coul/debye evdwl 0 88 0.000000
pair lj/cut/coul/debye ecoul 0 88 0.000000
pair lj/cut/coul/debye evdwl 0 89 -0.000670
pair lj/cut/coul/debye ecoul 0 89 -0.071892
pair lj/cut/coul/debye evdwl 0 90 0.000000
pair lj/cut/coul/debye ecoul 0 90 0.000000
pair lj/cut/coul/debye evdwl 0 91 0.000000
pair lj/cut/coul/debye ecoul 0 91 0.000000
pair lj/cut/coul/debye evdwl 0 92 0.000000
pair lj/cut/coul/debye ecoul 0 92 -0.021270
pair lj/cut/coul/debye evdwl 0 93 0.000000
pair lj/cut/coul/debye ecoul 0 93 0.000000
pair lj/cut/coul/debye evdwl 0 95 0.000000
pair lj/cut/coul/debye ecoul 0 95 -0.007234
pair lj/cut/coul/debye evdwl 0 134 0.000000
pair lj/cut/coul/debye ecoul 0 134 0.000000
pair lj/cut/coul/debye evdwl 0 135 0.000000
pair lj/cut/coul/debye ecoul 0 135 0.000000
pair lj/cut/coul/debye evdwl 0 136 0.000000
pair lj/cut/coul/debye ecoul 0 136 -0.011853
pair lj/cut/coul/debye evdwl 0 137 0.000000
pair lj/cut/coul/debye ecoul 0 137 0.000000
pair lj/cut/coul/debye evdwl 0 138 0.000000
pair lj/cut/coul/debye ecoul 0 138 0.000000
pair lj/cut/coul/debye evdwl 0 139 0.000000
pair lj/cut/coul/debye ecoul 0 139 -0.041329
pair lj/cut/coul/debye evdwl 0 140 -0.000232
pair lj/cut/coul/debye ecoul 0 140 0.000000
pair lj/cut/coul/debye evdwl 0 141 0.000000
pair lj/cut/coul/debye ecoul 0 141 0.000000
pair lj/cut/coul/debye evdwl 0 142 -0.001276
pair lj/cut/coul/debye ecoul 0 142 -0.085970
pair lj/cut/coul/debye evdwl 0 143 0.000000
pair lj/cut/coul/debye ecoul 0 143 0.000000
pair lj/cut/coul/debye evdwl 0 144 0.000000
pair lj/cut/coul/debye ecoul 0 144 0.000000
pair lj/cut/coul/debye evdwl 0 145 0.000000
pair lj/cut/coul/debye ecoul 0 145 -0.039979
pair lj/cut/coul/debye evdwl 0 146 0.000000
pair lj/cut/coul/debye ecoul 0 146 0.000000
pair lj/cut/coul/debye evdwl 0 147 0.000000
pair lj/cut/coul/debye ecoul 0 147 0.000000
pair lj/cut/coul/debye evdwl 0 51 0.000000
pair lj/cut/coul/debye ecoul 0 51 0.000000
pair lj/cut/coul/debye evdwl 0 53 0.000000
pair lj/cut/coul/debye ecoul 0 53 0.002642
pair lj/cut/coul/debye evdwl 0 54 0.000000
pair lj/cut/coul/debye ecoul 0 54 0.000000
pair lj/cut/coul/debye evdwl 0 55 0.000000
pair lj/cut/coul/debye ecoul 0 55 0.002643
pair lj/cut/coul/debye evdwl 0 56 0.000000
pair lj/cut/coul/debye ecoul 0 56 0.000000
pair lj/cut/coul/debye evdwl 0 57 0.000000
pair lj/cut/coul/debye ecoul 0 57 0.001378
pair lj/cut/coul/debye evdwl 0 58 0.000000
pair lj/cut/coul/debye ecoul 0 58 0.001666
pair lj/cut/coul/debye evdwl 0 59 0.000000
pair lj/cut/coul/debye ecoul 0 59 0.000000
pair lj/cut/coul/debye evdwl 0 60 0.000000
pair lj/cut/coul/debye ecoul 0 60 0.000000
pair lj/cut/coul/debye evdwl 0 61 0.000000
pair lj/cut/coul/debye ecoul 0 61 0.000000
pair lj/cut/coul/debye evdwl 0 62 0.000000
pair lj/cut/coul/debye ecoul 0 62 -0.000837
pair lj/cut/coul/debye evdwl 0 94 0.000000
pair lj/cut/coul/debye ecoul 0 94 0.000000
pair lj/cut/coul/debye evdwl 0 96 0.000000
pair lj/cut/coul/debye ecoul 0 96 0.000000
pair lj/cut/coul/debye evdwl 0 97 0.000000
pair lj/cut/coul/debye ecoul 0 97 0.000000
pair lj/cut/coul/debye evdwl 0 99 0.000000
pair lj/cut/coul/debye ecoul 0 99 0.000000
pair lj/cut/coul/debye evdwl 0 102 0.000000
pair lj/cut/coul/debye ecoul 0 102 0.000000
pair lj/cut/coul/debye evdwl 0 125 0.000000
pair lj/cut/coul/debye ecoul 0 125 0.000000
pair lj/cut/coul/debye evdwl 0 126 0.000000
pair lj/cut/coul/debye ecoul 0 126 0.000000
pair lj/cut/coul/debye evdwl 0 127 0.000000
pair lj/cut/coul/debye ecoul 0 127 -0.002338
pair lj/cut/coul/debye evdwl 0 128 0.000000
pair lj/cut/coul/debye ecoul 0 128 0.000000
pair lj/cut/coul/debye evdwl 0 129 0.000000
pair lj/cut/coul/debye ecoul 0 129 0.000000
pair lj/cut/coul/debye evdwl 0 130 0.000000
pair lj/cut/coul/debye ecoul 0 130 -0.003219
pair lj/cut/coul/debye evdwl 0 131 0.000000
pair lj/cut/coul/debye ecoul 0 131 0.000000
pair lj/cut/coul/debye evdwl 0 132 0.000000
pair lj/cut/coul/debye ecoul 0 132 0.000000
pair lj/cut/coul/debye evdwl 0 133 0.000000
pair lj/cut/coul/debye ecoul 0 133 -0.004959
pair lj/cut/coul/debye evdwl 0 7 0.000000
pair lj/cut/coul/debye ecoul 0 7 0.000000
pair lj/cut/coul/debye evdwl 0 8 0.000000
pair lj/cut/coul/debye ecoul 0 8 0.000000
pair lj/cut/coul/debye evdwl 0 9 0.000000
pair lj/cut/coul/debye ecoul 0 9 0.000000
pair lj/cut/coul/debye evdwl 0 10 0.000000
pair lj/cut/coul/debye ecoul 0 10 0.003068
pair lj/cut/coul/debye evdwl 0 11 0.000000
pair lj/cut/coul/debye ecoul 0 11 0.000000
pair lj/cut/coul/debye evdwl 0 12 0.000000
pair lj/cut/coul/debye ecoul 0 12 0.000000
pair lj/cut/coul/debye evdwl 0 38 0.000000
pair lj/cut/coul/debye ecoul 0 38 0.000000
pair lj/cut/coul/debye evdwl 0 13 0.000000
pair lj/cut/coul/debye ecoul 0 13 0.000000
pair lj/cut/coul/debye evdwl 0 14 0.000000
pair lj/cut/coul/debye ecoul 0 14 0.000000
pair lj/cut/coul/debye evdwl 0 15 0.000000
pair lj/cut/coul/debye ecoul 0 15 -0.002683
pair lj/cut/coul/debye evdwl 0 17 0.000000
pair lj/cut/coul/debye ecoul 0 17 -0.002106
pair lj/cut/coul/debye evdwl 0 18 0.000000
pair lj/cut/coul/debye ecoul 0 18 0.001921
pair lj/cut/coul/debye evdwl 0 21 0.000000
pair lj/cut/coul/debye ecoul 0 21 0.001014
pair lj/cut/coul/debye evdwl 0 63 0.000000
pair lj/cut/coul/debye ecoul 0 63 0.000000
pair lj/cut/coul/debye evdwl 0 64 0.000000
pair lj/cut/coul/debye ecoul 0 64 0.000000
pair lj/cut/coul/debye evdwl 0 67 0.000000
pair lj/cut/coul/debye ecoul 0 67 0.000000
pair lj/cut/coul/debye evdwl 0 148 0.000000
pair lj/cut/coul/debye ecoul 0 148 -0.012145
pair lj/cut/coul/debye evdwl 0 149 0.000000
pair lj/cut/coul/debye ecoul 0 149 0.000000
pair lj/cut/coul/debye evdwl 0 150 0.000000
pair lj/cut/coul/debye ecoul 0 150 0.000000
pair lj/cut/coul/debye evdwl 0 151 0.000000
pair lj/cut/coul/debye ecoul 0 151 -0.003753
pair lj/cut/coul/debye evdwl 0 152 0.000000
pair lj/cut/coul/debye ecoul 0 152 0.000000
pair lj/cut/coul/debye evdwl 0 153 0.000000
pair lj/cut/coul/debye ecoul 0 153 0.000000
pair lj/cut/coul/debye evdwl 0 154 0.000000
pair lj/cut/coul/debye ecoul 0 154 -0.001873
pair lj/cut/coul/debye evdwl 0 155 0.000000
pair lj/cut/coul/debye ecoul 0 155 0.000000
pair lj/cut/coul/debye evdwl 0 156 0.000000
pair lj/cut/coul/debye ecoul 0 156 0.000000
pair lj/cut/coul/debye evdwl 1 5 -0.001133
pair lj/cut/coul/debye ecoul 1 5 0.122726
pair lj/cut/coul/debye evdwl 1 6 -0.000971
pair lj/cut/coul/debye ecoul 1 6 0.000000
pair lj/cut/coul/debye evdwl 1 36 0.000000
pair lj/cut/coul/debye ecoul 1 36 0.000000
pair lj/cut/coul/debye evdwl 1 39 0.000000
pair lj/cut/coul/debye ecoul 1 39 0.013655
pair lj/cut/coul/debye evdwl 1 40 0.000000
pair lj/cut/coul/debye ecoul 1 40 0.000000
pair lj/cut/coul/debye evdwl 1 41 0.000000
pair lj/cut/coul/debye ecoul 1 41 0.000000
pair lj/cut/coul/debye evdwl 1 42 0.000000
pair lj/cut/coul/debye ecoul 1 42 0.000000
pair lj/cut/coul/debye evdwl 1 43 0.000000
pair lj/cut/coul/debye ecoul 1 43 0.000000
pair lj/cut/coul/debye evdwl 1 44 0.000000
pair lj/cut/coul/debye ecoul 1 44 0.000000
pair lj/cut/coul/debye evdwl 1 80 0.000000
pair lj/cut/coul/debye ecoul 1 80 -0.023135
pair lj/cut/coul/debye evdwl 1 81 0.000000
pair lj/cut/coul/debye ecoul 1 81 0.000000
pair lj/cut/coul/debye evdwl 1 83 -0.000351
pair lj/cut/coul/debye ecoul 1 83 -0.062395
pair lj/cut/coul/debye evdwl 1 84 -0.001029
pair lj/cut/coul/debye ecoul 1 84 0.000000
pair lj/cut/coul/debye evdwl 1 86 -0.004916
pair lj/cut/coul/debye ecoul 1 86 -0.134539
pair lj/cut/coul/debye evdwl 1 16 0.000000
pair lj/cut/coul/debye ecoul 1 16 0.000000
pair lj/cut/coul/debye evdwl 1 19 0.000000
pair lj/cut/coul/debye ecoul 1 19 0.003499
pair lj/cut/coul/debye evdwl 1 20 0.000000
pair lj/cut/coul/debye ecoul 1 20 0.000000
pair lj/cut/coul/debye evdwl 1 22 0.000000
pair lj/cut/coul/debye ecoul 1 22 0.000000
pair lj/cut/coul/debye evdwl 1 23 0.000000
pair lj/cut/coul/debye ecoul 1 23 0.000000
pair lj/cut/coul/debye evdwl 1 24 0.000000
pair lj/cut/coul/debye ecoul 1 24 0.003157
pair lj/cut/coul/debye evdwl 1 25 0.000000
pair lj/cut/coul/debye ecoul 1 25 0.000000
pair lj/cut/coul/debye evdwl 1 26 0.000000
pair lj/cut/coul/debye ecoul 1 26 0.000000
pair lj/cut/coul/debye evdwl 1 27 0.000000
pair lj/cut/coul/debye ecoul 1 27 0.000000
pair lj/cut/coul/debye evdwl 1 28 0.000000
pair lj/cut/coul/debye ecoul 1 28 0.000000
pair lj/cut/coul/debye evdwl 1 29 0.000000
pair lj/cut/coul/debye ecoul 1 29 0.000000
pair lj/cut/coul/debye evdwl 1 30 0.000000
pair lj/cut/coul/debye ecoul 1 30 -0.003778
pair lj/cut/coul/debye evdwl 1 31 0.000000
pair lj/cut/coul/debye ecoul 1 31 0.008194
pair lj/cut/coul/debye evdwl 1 32 0.000000
pair lj/cut/coul/debye ecoul 1 32 -0.010430
pair lj/cut/coul/debye evdwl 1 33 0.000000
pair lj/cut/coul/debye ecoul 1 33 0.000000
pair lj/cut/coul/debye evdwl 1 34 0.000000
pair lj/cut/coul/debye ecoul 1 34 0.000000
pair lj/cut/coul/debye evdwl 1 35 0.000000
pair lj/cut/coul/debye ecoul 1 35 0.000000
pair lj/cut/coul/debye evdwl 1 37 0.000000
pair lj/cut/coul/debye ecoul 1 37 0.000000
pair lj/cut/coul/debye evdwl 1 45 0.000000
pair lj/cut/coul/debye ecoul 1 45 0.000000
pair lj/cut/coul/debye evdwl 1 46 0.000000
pair lj/cut/coul/debye ecoul 1 46 0.017463
pair lj/cut/coul/debye evdwl 1 47 0.000000
pair lj/cut/coul/debye ecoul 1 47 0.000000
pair lj/cut/coul/debye evdwl 1 48 0.000000
pair lj/cut/coul/debye ecoul 1 48 0.000000
pair lj/cut/coul/debye evdwl 1 49 0.000000
pair lj/cut/coul/debye ecoul 1 49 0.000000
pair lj/cut/coul/debye evdwl 1 50 0.000000
pair lj/cut/coul/debye ecoul 1 50 0.000000
pair lj/cut/coul/debye evdwl 1 52 0.000000
pair lj/cut/coul/debye ecoul 1 52 0.000000
pair lj/cut/coul/debye evdwl 1 107 0.000000
pair lj/cut/coul/debye ecoul 1 107 -0.000909
pair lj/cut/coul/debye evdwl 1 108 0.000000
pair lj/cut/coul/debye ecoul 1 108 0.000000
pair lj/cut/coul/debye evdwl 1 116 0.000000
pair lj/cut/coul/debye ecoul 1 116 0.000000
pair lj/cut/coul/debye evdwl 1 118 0.000000
pair lj/cut/coul/debye ecoul 1 118 -0.007289
pair lj/cut/coul/debye evdwl 1 119 0.000000
pair lj/cut/coul/debye ecoul 1 119 0.000000
pair lj/cut/coul/debye evdwl 1 120 0.000000
pair lj/cut/coul/debye ecoul 1 120 0.000000
pair lj/cut/coul/debye evdwl 1 121 0.000000
pair lj/cut/coul/debye ecoul 1 121 -0.007954
pair lj/cut/coul/debye evdwl 1 122 0.000000
pair lj/cut/coul/debye ecoul 1 122 0.000000
pair lj/cut/coul/debye evdwl 1 123 0.000000
pair lj/cut/coul/debye ecoul 1 123 0.000000
pair lj/cut/coul/debye evdwl 1 124 0.000000
pair lj/cut/coul/debye ecoul 1 124 -0.004337
pair lj/cut/coul/debye evdwl 1 65 0.000000
pair lj/cut/coul/debye ecoul 1 65 -0.004954
pair lj/cut/coul/debye evdwl 1 66 0.000000
pair lj/cut/coul/debye ecoul 1 66 0.000000
pair lj/cut/coul/debye evdwl 1 68 0.000000
pair lj/cut/coul/debye ecoul 1 68 -0.005425
pair lj/cut/coul/debye evdwl 1 69 0.000000
pair lj/cut/coul/debye ecoul 1 69 0.000000
pair lj/cut/coul/debye evdwl 1 70 0.000000
pair lj/cut/coul/debye ecoul 1 70 0.000000
pair lj/cut/coul/debye evdwl 1 71 0.000000
pair lj/cut/coul/debye ecoul 1 71 -0.006123
pair lj/cut/coul/debye evdwl 1 72 0.000000
pair lj/cut/coul/debye ecoul 1 72 0.000000
pair lj/cut/coul/debye evdwl 1 73 0.000000
pair lj/cut/coul/debye ecoul 1 73 0.000000
pair lj/cut/coul/debye evdwl 1 74 0.000000
pair lj/cut/coul/debye ecoul 1 74 -0.007224
pair lj/cut/coul/debye evdwl 1 75 0.000000
pair lj/cut/coul/debye ecoul 1 75 0.000000
pair lj/cut/coul/debye evdwl 1 76 0.000000
pair lj/cut/coul/debye ecoul 1 76 0.000000
pair lj/cut/coul/debye evdwl 1 77 0.000000
pair lj/cut/coul/debye ecoul 1 77 -0.011378
pair lj/cut/coul/debye evdwl 1 78 0.000000
pair lj/cut/coul/debye ecoul 1 78 0.000000
pair lj/cut/coul/debye evdwl 1 79 0.000000
pair lj/cut/coul/debye ecoul 1 79 0.000000
pair lj/cut/coul/debye evdwl 1 82 0.000000
pair lj/cut/coul/debye ecoul 1 82 0.000000
pair lj/cut/coul/debye evdwl 1 85 0.000000
pair lj/cut/coul/debye ecoul 1 85 0.000000
pair lj/cut/coul/debye evdwl 1 87 -0.001391
pair lj/cut/coul/debye ecoul 1 87 0.000000
pair lj/cut/coul/debye evdwl 1 88 0.000000
pair lj/cut/coul/debye ecoul 1 88 0.000000
pair lj/cut/coul/debye evdwl 1 89 -0.001152
pair lj/cut/coul/debye ecoul 1 89 -0.083396
pair lj/cut/coul/debye evdwl 1 90 0.000000
pair lj/cut/coul/debye ecoul 1 90 0.000000
pair lj/cut/coul/debye evdwl 1 91 0.000000
pair lj/cut/coul/debye ecoul 1 91 0.000000
pair lj/cut/coul/debye evdwl 1 92 0.000000
pair lj/cut/coul/debye ecoul 1 92 -0.021586
pair lj/cut/coul/debye evdwl 1 93 0.000000
pair lj/cut/coul/debye ecoul 1 93 0.000000
pair lj/cut/coul/debye evdwl 1 95 0.000000
pair lj/cut/coul/debye ecoul 1 95 -0.007222
pair lj/cut/coul/debye evdwl 1 134 0.000000
pair lj/cut/coul/debye ecoul 1 134 0.000000
pair lj/cut/coul/debye evdwl 1 135 0.000000
pair lj/cut/coul/debye ecoul 1 135 0.000000
pair lj/cut/coul/debye evdwl 1 136 0.000000
pair lj/cut/coul/debye ecoul 1 136 -0.016356
pair lj/cut/coul/debye evdwl 1 137 0.000000
pair lj/cut/coul/debye ecoul 1 137 0.000000
pair lj/cut/coul/debye evdwl 1 138 0.000000
pair lj/cut/coul/debye ecoul 1 138 0.000000
pair lj/cut/coul/debye evdwl 1 139 -0.000208
pair lj/cut/coul/debye ecoul 1 139 -0.057356
pair lj/cut/coul/debye evdwl 1 140 -0.002231
pair lj/cut/coul/debye ecoul 1 140 0.000000
pair lj/cut/coul/debye evdwl 1 141 -0.000051
pair lj/cut/coul/debye ecoul 1 141 0.000000
pair lj/cut/coul/debye evdwl 1 142 -0.013832
pair lj/cut/coul/debye ecoul 1 142 -0.196199
pair lj/cut/coul/debye evdwl 1 143 -0.001792
